,Limit,Sex,Education,Marriage,Age,Pay_sept,Pay_aug,Pay_july,Pay_june,Pay_may,Pay_april,Bill_sept,Bill_aug,Bill_july,Bill_june,Bill_may,Bill_april,Amt_sept,Amt_aug,Amt_july,Amt_june,Amt_may,Amt_april
35913,120000.0,1.3887454935772425,1.0,2.0,29.2787815449593,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41709,98462.80010662017,2.0,1.1537199893379833,1.8462800106620167,28.305799840069753,-0.6925600213240333,-0.6925600213240333,-2.0,-2.0,-2.0,-2.0,26636.240334805654,-425.1724955733198,-425.1724955733198,-425.1724955733198,-425.1724955733198,-425.1724955733198,0.0,0.0,0.0,0.0,0.0,0.0
5972,80000.0,1.0,1.0,2.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,79650.0,80821.0,65609.0,49640.0,49685.0,46684.0,3515.0,2627.0,1697.0,2000.0,1700.0,3000.0
12197,240000.0,2.0,2.0,1.0,41.0,1.0,2.0,0.0,0.0,0.0,0.0,137327.0,133724.0,136539.0,137487.0,141291.0,20143.0,0.0,6702.0,5000.0,6019.0,6099.0,14762.0
20012,200000.0,2.0,1.0,2.0,41.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2615.0,9855.0,11162.0,45607.0,23359.0,25713.0,9855.0,21162.0,45614.0,23359.0,25713.0,9884.0
4478,200000.0,2.0,1.0,2.0,25.0,-2.0,-2.0,-1.0,0.0,-1.0,-1.0,6096.0,2886.0,8264.0,7776.0,2814.0,2610.0,2886.0,9288.0,0.0,2814.0,2610.0,2828.0
11602,10000.0,1.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,10043.0,9616.0,9718.0,9916.0,9250.0,7461.0,1194.0,1076.0,274.0,370.0,472.0,375.0
27158,20000.0,1.0,2.0,1.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,12721.0,14102.0,14870.0,16116.0,16436.0,16781.0,1600.0,1300.0,1500.0,588.0,610.0,611.0
21036,50000.0,1.0,3.0,2.0,40.0,0.0,0.0,0.0,0.0,2.0,2.0,55397.0,55877.0,57335.0,59595.0,55949.0,51225.0,2000.0,2356.0,3494.0,2000.0,0.0,1725.0
22323,470000.0,2.0,2.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,26549.0,25247.0,28019.0,27139.0,26923.0,28350.0,1420.0,5000.0,1408.0,2000.0,2000.0,10000.0
34812,80000.0,1.4080452672150676,2.5919547327849326,1.5919547327849324,34.08045267215068,0.0,0.0,-0.8160905344301352,-0.8160905344301352,-0.8160905344301352,-0.8160905344301352,79699.30740627038,3537.521483122756,3440.440906946027,2834.279260574256,2224.565885805776,2256.5314413761625,654.7019344601351,627.4720167520284,91.1610288488796,87.01734571938506,75.17825106368642,30.781646104816485
45043,550000.0,1.5873710974845432,2.412628902515457,1.0,39.427320245278224,2.0,0.8252578050309134,0.8252578050309134,0.0,0.0,0.8252578050309134,525138.0234423705,541602.9449058776,518665.9008282216,530239.4079617064,518624.0613043537,275373.40291911096,33640.394409884975,13429.065401789114,106323.91338681633,22952.39666897535,2525.6957191835363,100339.27968260019
13202,50000.0,2.0,2.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,8925.0,9208.0,10238.0,10700.0,10762.0,11587.0,1200.0,1200.0,1000.0,1000.0,1000.0,1000.0
13886,230000.0,1.0,1.0,1.0,37.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3102.0,30428.0,5711.0,5770.0,7652.0,17825.0,30580.0,5739.0,5799.0,7690.0,17914.0,360.0
41880,50000.0,2.0,2.104710706760711,1.895289293239289,25.51305696225706,0.10471070676071093,0.20942141352142185,0.0,0.0,0.0,0.0,47874.70278088354,48592.87378613274,50083.853303007054,50235.470815667366,18181.253365339995,18441.441773003084,1597.1960991388917,2676.078851790951,2228.376856540857,901.0483821111281,940.0537579012536,17307.82858777008
30946,360000.0,2.0,1.0,1.9070525335462936,33.09294746645371,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38453,40000.0,1.8363775071442179,1.0,1.8363775071442179,26.327244985711566,-0.16362249285578212,-0.16362249285578212,0.32724498571156424,-0.16362249285578212,-1.0,-1.0,6901.706100365785,8590.472469273194,9331.932191304059,2989.372166893694,1200.0949621289774,1688.3788109925704,2092.7739534492284,1000.3074985444846,1241.3431769622787,2504.843873273957,910.3538574633264,978.5616833587349
1366,260000.0,2.0,4.0,2.0,42.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,399.0,2101.0,577.0,0.0,200.0,0.0,2101.0,577.0,0.0,200.0,0.0,664.0
42603,80000.0,2.0,1.118918994446108,1.881081005553892,29.951351955568864,0.23783798889221575,0.23783798889221575,0.23783798889221575,0.23783798889221575,0.23783798889221575,2.0,14346.751427407231,15388.113642513952,16426.03255312488,16994.48650838937,17859.41086315115,18039.740539105525,1583.2432961122754,1588.1081005553892,1145.4053072200597,1147.567597778443,616.7567038877245,807.0270950014971
10092,180000.0,2.0,3.0,1.0,43.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1473.0,22969.0,27315.0,13315.0,8194.0,12800.0,22969.0,27392.0,13315.0,9000.0,12800.0,9460.0
17541,20000.0,2.0,2.0,2.0,37.0,1.0,2.0,0.0,0.0,0.0,2.0,16174.0,15617.0,16646.0,17648.0,18819.0,17992.0,0.0,1285.0,1287.0,1458.0,0.0,644.0
1920,100000.0,2.0,1.0,1.0,51.0,1.0,-2.0,-2.0,-1.0,2.0,2.0,0.0,0.0,0.0,300.0,150.0,780.0,0.0,0.0,300.0,0.0,630.0,0.0
27925,360000.0,2.0,1.0,2.0,26.0,2.0,2.0,-2.0,-2.0,-2.0,-2.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40037,198306.4157829921,1.8306415782992094,1.1693584217007906,1.0,40.50807526510237,1.661283156598419,1.661283156598419,1.661283156598419,1.661283156598419,1.661283156598419,1.661283156598419,80964.38953400502,83405.10801045368,85380.30048394344,86539.58911614915,87845.89686480483,90024.84189296726,4166.128315659842,4083.064157829921,3338.716843401581,3501.615053020474,3584.679210850395,846.7921085039525
18496,170000.0,2.0,2.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,65531.0,64149.0,46188.0,42793.0,30466.0,25583.0,2019.0,2006.0,2002.0,788.0,989.0,1000.0
27784,230000.0,2.0,2.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,95544.0,95311.0,94489.0,93143.0,87654.0,90172.0,4200.0,4500.0,4114.0,3500.0,4000.0,3000.0
31431,70000.0,2.0,2.0,1.2611274615590804,35.344215538172875,2.7388725384409196,1.4777450768818394,1.4777450768818394,1.4777450768818394,2.0,2.0,20057.756849204376,19861.566719314764,21869.204936201964,21946.406338413624,22615.28788791481,23768.75961046665,425.3766348797418,2643.2880697331684,652.8186538977008,1108.3088076613794,1630.56373077954,0.0
12636,50000.0,2.0,2.0,2.0,24.0,1.0,-2.0,-1.0,-1.0,0.0,0.0,0.0,0.0,51400.0,11330.0,12144.0,12938.0,0.0,51400.0,11330.0,1000.0,1000.0,1519.0
24936,310000.0,1.0,1.0,1.0,39.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16577.0,1361.0,2716.0,824.0,757.0,842.0,1361.0,3146.0,824.0,757.0,842.0,13436.0
33316,160000.0,1.5061432495582983,1.0,1.0,40.37099175927574,2.0,1.4815702513251057,0.9877135008834037,0.0,0.0,1.0122864991165963,76734.54176868996,76281.9319585115,76482.7384002279,80578.38325448235,84118.8513517297,84665.50190726637,1366.586773807405,1720.8870484982137,5701.09736050621,5164.129473984086,1975.4270017668075,3595.0854003533614
20220,100000.0,2.0,1.0,2.0,52.0,1.0,2.0,2.0,2.0,2.0,2.0,13687.0,14007.0,14236.0,12924.0,12467.0,10950.0,1600.0,1500.0,0.0,700.0,0.0,1150.0
13718,140000.0,1.0,2.0,1.0,30.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
714,400000.0,2.0,1.0,2.0,31.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,203.0,767.0,664.0,1250.0,-10.0,2174.0,770.0,667.0,1256.0,0.0,2184.0,0.0
33188,50000.0,2.0,3.0,1.0,29.78123923470868,-0.8009874086995432,1.6019748173990864,0.0,0.0,0.0,0.0,5683.288912842227,5378.266600348877,6108.707183582243,6739.039151858659,6676.787362640276,6374.224539681536,216.525699334897,1130.8256726261882,1073.5427302954265,323.6760304698648,203.91607026053885,345.8898541916584
22404,150000.0,2.0,1.0,2.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,136736.0,125651.0,116684.0,101581.0,77741.0,77264.0,4486.0,4235.0,3161.0,2647.0,2669.0,2669.0
43833,110000.0,1.8451219449167624,1.8451219449167624,2.0,25.2390244406659,1.6902438898335248,1.6902438898335248,1.6902438898335248,2.0,2.0,2.0,108152.70003152636,110187.1158773884,111901.52561954426,111687.3865604763,112421.21826770513,109239.69510411443,5608.414638558266,6012.439053382893,3380.48777966705,4620.596366718533,0.0,4611.24390533829
20382,50000.0,1.0,2.0,2.0,23.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,49276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17993,220000.0,1.0,3.0,2.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,26595.0,33330.0,36720.0,40729.0,44762.0,48914.0,9000.0,5000.0,5000.0,5000.0,5000.0,5000.0
32111,100000.0,2.0,2.0,1.0,32.01608648101291,0.43086949728755874,0.8617389945751175,0.8617389945751175,2.0,1.1382610054248825,1.1382610054248825,76306.96611735284,76353.06460334187,82841.45595524057,83034.90363735253,83971.86965352617,82602.75145932745,1536.6523573235913,7741.478301627465,2449.537683674347,3000.0,1335.6954415914322,3172.3477989150233
46087,130000.0,1.5759821661840605,1.4240178338159395,1.5759821661840605,26.968124836711578,2.0,0.848035667631879,0.0,0.0,0.0,0.0,128892.74890679769,128442.40534457937,129812.32008360367,98901.15503299786,97032.0842480841,97333.03989481505,3743.8840801963934,5272.794649855218,3723.3076633156243,3489.340986085106,3796.895457602165,3710.1764280115826
9030,80000.0,2.0,3.0,1.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,76752.0,77528.0,68966.0,63972.0,50072.0,51239.0,3768.0,3009.0,2009.0,1818.0,2000.0,6000.0
22057,330000.0,2.0,1.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,37587.0,39183.0,39305.0,40251.0,41683.0,38978.0,2000.0,2000.0,3000.0,3000.0,3000.0,1500.0
19209,210000.0,2.0,1.0,2.0,30.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7311,80000.0,2.0,2.0,3.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,11976.0,10010.0,10982.0,11325.0,11569.0,10303.0,1185.0,1157.0,500.0,400.0,500.0,5000.0
35337,180000.0,2.0,2.0,1.0,29.0,2.0,2.0,2.0,2.0,2.0,2.0,113343.28082950924,112968.50975668165,109634.20670905637,110800.16054030176,108029.09476614476,104968.8044340313,5009.702501878788,2046.6041747699073,7187.55687368672,3445.141467034019,910.3076009193694,6799.405835989187
23022,280000.0,2.0,1.0,2.0,36.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4126.0,7001.0,12984.0,-5.0,1411.0,5654.0,7065.0,13046.0,5.0,1416.0,5654.0,6055.0
4322,300000.0,2.0,2.0,1.0,31.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,316.0,316.0,17597.0,15257.0,9482.0,10716.0,316.0,17597.0,2000.0,2690.0,2000.0,316.0
8229,500000.0,1.0,1.0,1.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,580928.0,597793.0,597415.0,569034.0,551702.0,568638.0,25624.0,21898.0,20851.0,19599.0,26000.0,20000.0
4196,100000.0,2.0,2.0,2.0,26.0,1.0,2.0,0.0,0.0,0.0,0.0,48006.0,46561.0,46764.0,48298.0,49137.0,49576.0,0.0,2200.0,3000.0,2000.0,1800.0,2000.0
17004,50000.0,2.0,2.0,2.0,22.0,2.0,2.0,2.0,3.0,2.0,2.0,19091.0,18487.0,22219.0,21520.0,20108.0,18207.0,0.0,4042.0,0.0,648.0,0.0,921.0
34368,50000.0,2.0,2.9611015150159377,1.0194492424920312,47.55266742268328,0.038898484984062565,0.05834772747609385,0.038898484984062565,0.038898484984062565,0.038898484984062565,0.038898484984062565,41881.44306377384,42431.12169472876,43060.34699700576,43667.71825991024,45224.29346593451,46052.7716083639,1945.4127028958098,2012.795691645042,2025.4943196952072,2978.6058332587654,1996.1101515015937,1470.826136261953
176,80000.0,1.0,1.0,2.0,30.0,-2.0,-1.0,0.0,0.0,0.0,0.0,6187.0,100.0,600.0,1438.0,1919.0,5380.0,504.0,500.0,1000.0,500.0,3500.0,0.0
38777,100000.0,1.00150499285273,1.99849500714727,1.00150499285273,45.96689015723994,2.00150499285273,0.003009985705460183,0.003009985705460183,0.003009985705460183,0.0,0.0,100000.02407988564,99770.67095580976,102240.2026247906,98457.01313119245,99426.28088441896,101550.87303135586,4493.227532162715,5005.1771754133915,4493.227532162715,3800.109864478249,3905.7686376045144,3993.9800285890797
5929,50000.0,2.0,3.0,1.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,16648.0,16200.0,15622.0,14277.0,12930.0,11657.0,1588.0,1483.0,611.0,458.0,403.0,351.0
19342,200000.0,2.0,3.0,3.0,31.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7242,320000.0,2.0,2.0,1.0,47.0,-1.0,-1.0,2.0,-1.0,2.0,-1.0,10159.0,37758.0,15591.0,39240.0,28424.0,25120.0,38075.0,0.0,39424.0,0.0,25120.0,35375.0
32525,10000.0,1.8970027943777117,2.8970027943777117,2.0,22.205994411244575,0.0,0.0,1.7940055887554236,0.2059944112445764,0.0,0.0,10117.3661413516,10048.187832421168,9897.86347319194,8991.391795623207,8697.05588169403,8240.974093292294,2353.9466602475813,163.6587497515004,276.27686066833525,362.22885430513816,314.7133604747248,907.3025149399406
33622,100000.0,2.0,2.0,2.0,39.82630729006019,1.3578934292400293,1.3578934292400293,1.3578934292400293,1.3578934292400293,1.3578934292400293,1.3578934292400293,104116.07638773735,105140.81726450837,106125.42178560208,105419.59585097861,104245.08145540874,104340.61291732572,5089.9987577780275,4950.525400468021,3668.5367780327615,3909.784026808224,3632.1053285379985,5559.4758417539515
33568,283412.57020711113,1.6706285103555574,2.0,1.0,43.3887991449778,1.3293714896444426,1.3412570207111147,0.0,0.0,0.0,0.0,287197.3452270136,282740.1213591032,270137.06241568923,189962.32324497943,133066.37775860663,132529.37322303926,3403.0662310063813,12682.51404142223,11971.260208082516,5996.678127664083,5332.994576030532,5000.0
10399,260000.0,1.0,1.0,1.0,53.0,1.0,-2.0,-2.0,-1.0,-1.0,2.0,0.0,990.0,0.0,1930.0,4304.0,150.0,990.0,0.0,1930.0,4304.0,0.0,150.0
3862,380000.0,1.0,1.0,1.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,356375.0,347165.0,318600.0,284972.0,285249.0,266406.0,40000.0,20000.0,20000.0,20000.0,10000.0,20000.0
4056,60000.0,2.0,2.0,2.0,26.0,0.0,0.0,0.0,0.0,2.0,2.0,48867.0,49979.0,51316.0,54046.0,55036.0,53985.0,2200.0,2470.0,4200.0,2000.0,0.0,6200.0
38029,200000.0,1.7011953153909631,1.0,1.2988046846090369,33.70119531539096,0.10358594617288919,-2.0,-2.0,-2.0,-2.0,-2.0,-5.378484322962663,-5.378484322962663,-5.378484322962663,-5.378484322962663,-5.378484322962663,-5.378484322962663,0.0,0.0,0.0,0.0,0.0,0.0
16761,50000.0,1.0,2.0,1.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,49573.0,49417.0,49085.0,33156.0,19344.0,18930.0,2245.0,1652.0,1497.0,10580.0,685.0,704.0
44642,379192.7684932818,1.3838553698656357,1.3838553698656357,1.0,47.161446301343645,0.0,0.0,0.0,0.0,0.0,0.0,349403.7063178573,357217.43030101375,349946.6173683858,351988.44268420845,358015.3935038565,360542.05527274427,14576.586504054894,14456.250996552386,12954.402562661984,14458.006097941468,13833.024805233586,12037.565679481684
11549,80000.0,1.0,1.0,2.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,49171.0,50376.0,51536.0,52782.0,53781.0,55389.0,2000.0,2000.0,2100.0,2000.0,2500.0,2500.0
28057,50000.0,2.0,3.0,1.0,34.0,2.0,2.0,2.0,2.0,2.0,2.0,28289.0,32783.0,33714.0,32250.0,34245.0,19719.0,5000.0,3000.0,0.0,5000.0,0.0,3000.0
629,200000.0,2.0,3.0,3.0,45.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4430.0,7182.0,3855.0,3411.0,6788.0,9921.0,7193.0,3855.0,3411.0,6788.0,9921.0,5016.0
46702,50000.0,2.0,1.0,2.0,27.054428555431784,0.972785722284108,1.945571444568216,2.0,0.05442855543178404,0.05442855543178404,2.0,12819.992018812221,14348.335938465441,13825.74415263118,14029.006429451252,14816.730296080204,14465.741713773818,2021.7714221727135,0.0,721.7714221727136,1167.3428667409296,32.65713325907043,1327.8525109178074
24888,310000.0,1.0,3.0,2.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,263685.0,190484.0,178753.0,166942.0,140659.0,145379.0,8000.0,6650.0,6000.0,6000.0,7000.0,6000.0
37513,152294.86504402713,2.0,2.8852567477986435,1.0,45.45897300880543,1.8852567477986435,2.0,1.7705134955972868,0.0,0.0,0.0,176444.02099575277,167546.57116394764,153223.43805777206,150194.9568462951,47406.85783313682,44508.05350907239,6491.587731607452,728.7183809037688,4211.973400321476,13393.594469181007,1770.5134955972867,1947.5648451570155
32708,30000.0,1.0,3.0,2.0,45.460763252599776,2.7303816262998897,2.0,0.0,0.0,0.0,0.0,13725.088385346526,13218.492812907076,13965.935568962093,14319.667932958737,14619.398314585038,15069.722120415965,0.0,1233.0563356920495,586.7886996886946,530.6519081314995,719.1286962113373,784.0180071975832
37994,21003.009929691718,1.1003009929691718,2.0,2.0,34.595786098431596,0.10030099296917183,0.20060198593834366,-1.5987960281233127,-1.8996990070308282,-1.5987960281233127,-1.5987960281233127,18823.571093308812,302.8086977739299,-34.20263860248758,113.239821062195,147.4424596646827,34.002036616549276,1.0030099296917179,0.0,147.4424596646827,34.20263860248758,0.0,1236.1094373520737
11452,50000.0,1.0,2.0,2.0,39.0,1.0,2.0,0.0,0.0,0.0,0.0,50468.0,48621.0,49987.0,19663.0,16769.0,16550.0,0.0,2600.0,650.0,752.0,596.0,578.0
970,300000.0,1.0,1.0,1.0,42.0,-1.0,0.0,0.0,-1.0,0.0,0.0,11973.0,61834.0,25145.0,37666.0,19453.0,10492.0,20979.0,5000.0,37676.0,8808.0,2000.0,2709.0
15699,20000.0,1.0,2.0,1.0,31.0,1.0,4.0,3.0,2.0,0.0,0.0,21676.0,21054.0,20442.0,19773.0,20238.0,18062.0,0.0,0.0,0.0,1000.0,1000.0,1000.0
21700,240000.0,2.0,3.0,2.0,25.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,198768.0,2986.0,191142.0,98080.0,19380.0,100000.0,2986.0,191142.0,98080.0,79380.0,100000.0,50254.0
33267,90000.0,2.0,1.0437256954277978,2.0,27.912548609144405,0.08745139085559561,0.08745139085559561,2.0,2.0,1.9125486091444044,1.9125486091444044,87924.176705045,87611.69012843387,88359.78298661459,91143.35246044165,89582.45186223213,90975.60940782435,5909.314238569495,5321.293748229964,5550.216063737062,144.29479491173277,6555.705205088268,174.9027817111912
20584,50000.0,1.0,2.0,2.0,31.0,1.0,2.0,0.0,0.0,0.0,-1.0,51086.0,49804.0,28662.0,29476.0,4011.0,1000.0,0.0,2000.0,1500.0,1000.0,1000.0,0.0
13849,170000.0,1.0,1.0,2.0,24.0,0.0,0.0,0.0,0.0,0.0,2.0,169883.0,171851.0,158426.0,96704.0,101555.0,97884.0,6808.0,4625.0,3510.0,9100.0,0.0,3500.0
16073,360000.0,2.0,2.0,1.0,47.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,410.0,3620.0,7656.0,56397.0,43882.0,21818.0,3620.0,7656.0,56397.0,0.0,0.0,12117.0
21529,80000.0,2.0,2.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,77408.0,78363.0,72602.0,72525.0,56951.0,21952.0,2677.0,3341.0,1850.0,1499.0,933.0,32000.0
4100,120000.0,1.0,1.0,2.0,32.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,890.0,390.0,390.0,1480.0,0.0,6477.0,390.0,390.0,1480.0,0.0,6477.0,0.0
18600,80000.0,2.0,2.0,2.0,27.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,725.0,2959.0,1838.0,2899.0,1376.0,1320.0,2968.0,1838.0,2899.0,1376.0,1320.0,1107.0
20505,50000.0,1.0,2.0,2.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,45622.0,47061.0,48264.0,27806.0,24901.0,25441.0,2500.0,2500.0,2000.0,2000.0,941.0,3113.0
1655,100000.0,2.0,3.0,1.0,31.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,16033.0,1716.0,1200.0,0.0,0.0,1300.0,1716.0,1200.0,0.0,0.0,1300.0,6455.0
37648,200000.0,1.7010829491413935,1.7010829491413935,1.2989170508586065,35.20649769484836,-1.0,-1.0,-1.0,-0.7010829491413934,-0.7010829491413934,-1.7010829491413935,1380.0132724437053,29817.595160271085,3706.5611076349514,3859.952835082294,856.3973507099081,1681.4084110796625,29856.454376882706,3715.229702109851,1492.3666125529362,4.782672813737706,1793.50230515164,5.679423966313527
40469,50000.0,1.49341062620974,2.50658937379026,1.9868212524194802,43.11860872822468,0.013178747580519845,1.0131787475805198,0.0,0.0,0.0,0.0,32768.82179471823,30353.08061522148,28563.384184554332,22048.471349440904,14507.358037459788,13368.285762377283,989.2883055505289,4484.754984703322,1340.1032607856541,493.4106262097401,449.4970804770732,246.70531310487004
10935,120000.0,2.0,2.0,2.0,23.0,0.0,0.0,2.0,0.0,0.0,0.0,107934.0,123579.0,118117.0,77943.0,78834.0,76889.0,19000.0,8.0,3000.0,3000.0,3500.0,3500.0
13094,20000.0,1.0,3.0,1.0,55.0,1.0,2.0,0.0,0.0,0.0,0.0,19420.0,19810.0,20037.0,19640.0,15378.0,7284.0,1000.0,1400.0,393.0,308.0,1000.0,0.0
44234,110000.0,2.0,2.0,1.0,40.60658340117726,1.5409761710922119,1.5409761710922119,0.0,0.0,1.5409761710922119,1.5409761710922119,110302.01952005572,107825.13369222813,105972.27125657556,109184.74573522041,107313.52393388333,111303.94642902995,938.244706287519,4904.3886541833845,6825.100582101756,912.309859954229,6965.035655216733,905.4245025206121
27799,50000.0,2.0,1.0,2.0,26.0,2.0,2.0,2.0,2.0,2.0,0.0,47068.0,46010.0,49333.0,49708.0,45112.0,42063.0,0.0,4070.0,1551.0,0.0,1528.0,3273.0
41681,60000.0,2.0,1.4842752438217042,2.4842752438217044,31.264128657325564,0.48427524382170417,-0.03144951235659166,-0.9685504876434083,-0.9685504876434083,-1.4842752438217042,-1.4842752438217042,52804.07142787723,1733.3050274636435,836.3475921403788,107.00070257506013,872.2953358153461,1731.8037312467175,2479.088902949068,540.479544474854,515.7247561782958,2431.6616209212334,2700.3542188901256,2626.586183216061
44615,220000.0,1.2594062902468814,1.0,1.7405937097531186,32.89109435370322,1.2594062902468814,2.0,1.4811874195062373,1.4811874195062373,1.4811874195062373,2.0,31919.40320328359,31108.914076190755,33582.8936972834,33336.076662919375,35463.7223336985,35042.057343460074,0.0,3062.7718226790544,518.8125804937627,2685.9882670646775,285.34691927156945,2419.1164921702784
28747,50000.0,2.0,2.0,1.0,28.0,3.0,2.0,2.0,7.0,7.0,7.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,0.0,0.0,0.0,0.0,0.0,0.0
32106,20000.0,1.083476104697108,2.916523895302892,1.083476104697108,40.667808837576864,0.0,0.0,1.833047790605784,2.916523895302892,1.833047790605784,1.833047790605784,13440.787736783148,16235.92928303182,17881.443845710925,17305.1951306532,16792.80563568876,18037.41300709635,3063.266140506137,2208.431086574408,0.0,50.92042386523587,1516.8577997216805,889.8993913316499
19018,90000.0,2.0,1.0,2.0,28.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,866.0,148.0,377.0,4229.0,6109.0,8832.0,148.0,377.0,4000.0,2109.0,2832.0,316.0
